group_name,technique_id
TA505,T1087.003  T1583.001  T1553.005  T1218.007  T1112  T1588.002  T1204.002  T1568.001  T1027  T1027.002  T1552.001  T1059.005  T1059.007  T1204.001  T1562.001  T1608.001  T1218.011  T1140  T1555.003  T1027.010  T1069  T1105  T1588.001  T1078.002  T1553.002  T1486  T1059.001  T1566.001  T1106  T1566.002  T1559.002  T1055.001  T1071.001  T1059.003
BITTER,T1105  T1071.001  T1588.002  T1568  T1566.001  T1204.002  T1027  T1573  T1068  T1036.004  T1608.001  T1559.002  T1203  T1583.001  T1053.005  T1095
DarkVishnya,T1200  T1588.002  T1543.003  T1046  T1135  T1110  T1219  T1059.001  T1040  T1571
FIN5,T1090.002  T1070.004  T1074.001  T1059  T1018  T1119  T1110  T1588.002  T1133  T1070.001  T1078
Mofang,T1566.002  T1204.001  T1566.001  T1027  T1204.002
Lotus Blossom,
Stealth Falcon,T1555.004  T1059  T1555.003  T1555  T1057  T1016  T1573.001  T1012  T1071.001  T1033  T1047  T1005  T1041  T1059.001  T1053.005  T1082
APT29,T1621  T1588.002  T1090.004  T1068  T1546.003  T1547.001  T1136.003  T1098.005  T1587.003  T1105  T1651  T1566.001  T1078.004  T1053.005  T1587.001  T1583.006  T1090.003  T1027.006  T1070.004  T1203  T1550.003  T1204.001  T1036.005  T1110.003  T1114.002  T1027.001  T1556.007  T1562.001  T1059.001  T1133  T1021.007  T1595.002  T1566.002  T1586.003  T1573  T1047  T1110.001  T1199  T1566.003  T1078  T1505.003  T1059.006  T1218.005  T1190  T1553.005  T1649  T1087.004  T1098.002  T1546.008  T1059.009  T1586.002  T1204.002  T1548.002  T1027.002  T1078.003  T1098.005  T1036.004  T1059.003  T1078.004  T1140  T1550.004  T1003.006  T1560.001  T1069.002  T1059.005  T1027  T1213  T1555  T1057  T1087  T1583.001  T1036  T1083  T1070  T1195.002  T1484.002  T1005  T1098.001  T1078.002  T1069  T1550  T1021.001  T1070.006  T1584.001  T1098.002  T1550.001  T1213.003  T1021.006  T1606.001  T1016.001  T1082  T1482  T1095  T1074.002  T1090.001  T1001.002  T1589.001  T1102.002  T1555.003  T1568  T1114.002  T1606.002  T1553.002  T1562.004  T1078  T1070.008  T1552.004  T1562.001  T1218.011  T1021.002  T1071.001  T1562.002  T1098.003  T1048.002  T1539  T1558.003  T1018  T1087.002  T1043  T1547.009  T1064  T1070
Dark Caracal,T1027  T1059.003  T1071.001  T1204.002  T1027.002  T1218.001  T1189  T1547.001  T1083  T1566.003  T1005  T1113
Chimera,T1574.002  T1074.002  T1053.005  T1569.002  T1041  T1078  T1550.002  T1071.001  T1106  T1556.001  T1070.001  T1071.004  T1482  T1560.001  T1021.006  T1083  T1087.002  T1057  T1021.002  T1059.001  T1003.003  T1074.001  T1213.002  T1135  T1036.005  T1570  T1007  T1027.010  T1016  T1046  T1033  T1087.001  T1572  T1078.002  T1069.001  T1124  T1201  T1049  T1059.003  T1070.004  T1110.003  T1114.001  T1039  T1119  T1133  T1110.004  T1082  T1114.002  T1012  T1588.002  T1567.002  T1070.006  T1018  T1589.001  T1047  T1021.001  T1111  T1217  T1105  T1102
Cleaver,T1003.001  T1557.002  T1588.002  T1587.001  T1585.001
Silent Librarian,T1588.004  T1594  T1114  T1598.003  T1589.003  T1114.003  T1585.002  T1589.002  T1608.005  T1110.003  T1583.001  T1588.002  T1078
BRONZE BUTLER,T1140  T1005  T1007  T1070.004  T1059.006  T1566.001  T1036.005  T1113  T1036  T1588.002  T1548.002  T1059.005  T1132.001  T1518  T1071.001  T1039  T1124  T1189  T1574.002  T1562.001  T1003.001  T1203  T1018  T1560.001  T1053.002  T1102.001  T1053.005  T1080  T1204.002  T1027.001  T1547.001  T1059.001  T1059.003  T1105  T1550.003  T1573.001  T1027.003  T1087.002  T1083  T1036.002  T1059  T1032  T1022
TA551,T1218.010  T1589.002  T1204.002  T1218.011  T1027.003  T1566.001  T1132.001  T1568.002  T1027.010  T1071.001  T1105  T1218.005  T1059.003  T1036
TEMP.Veles,T1546.012  T1074.001  T1133  T1027.005  T1505.003  T1021.001  T1571  T1021.004  T1059.001  T1053.005  T1036.005  T1583.003  T1070.006  T1078  T1070.004  T1588.002  T1003.001  T1065  T1043
MONSOON,
Equation,T1564.005  T1120  T1480.001  T1542.002  T1109
BackdoorDiplomacy,T1027  T1505.003  T1190  T1588.002  T1036.005  T1055.001  T1105  T1074.001  T1046  T1049  T1120  T1095  T1574.001  T1588.001  T1036.004
Gelsemium,T1195.002  T1568  T1583.004
Darkhotel,T1518.001  T1497.002  T1027  T1573.001  T1080  T1082  T1056.001  T1566.001  T1057  T1140  T1189  T1091  T1497  T1497.001  T1124  T1553.002  T1016  T1083  T1059.003  T1036.005  T1105  T1547.001  T1203  T1204.002  T1547.009
Axiom,T1001.002  T1005  T1560  T1584.005  T1189  T1553  T1021.001  T1583.002  T1203  T1078  T1583.003  T1563.002  T1546.008  T1566  T1190  T1003  T1001
Deep Panda,T1057  T1018  T1505.003  T1027.005  T1218.010  T1564.003  T1059.001  T1546.008  T1047  T1021.002  T1064
Ember Bear,T1566.001  T1588.002  T1588.003  T1112  T1562.001  T1059.001  T1218.002  T1203  T1027  T1553.002  T1027.002  T1105  T1059.007  T1102  T1027.001  T1566.002  T1059.003  T1027.010  T1204.002  T1204.001
LazyScripter,T1204.001  T1218.005  T1608.001  T1204.002  T1102  T1059.007  T1583.001  T1059.005  T1071.004  T1588.001  T1105  T1036  T1566.001  T1059.001  T1059.003  T1027.010  T1547.001  T1218.011  T1566.002  T1583.006
Dust Storm,T1005  T1027  T1083
Windshift,T1057  T1189  T1059.005  T1518.001  T1566.001  T1204.001  T1566.003  T1547.001  T1518  T1566.002  T1036.001  T1027  T1071.001  T1036  T1105  T1047  T1033  T1082  T1204.002
Volatile Cedar,T1595.002  T1595.003  T1505.003  T1105  T1190
Whitefly,T1105  T1574.001  T1003.001  T1068  T1588.002  T1059  T1027  T1204.002  T1036.005
LuminousMoth,T1539  T1567.002  T1566.002  T1588.001  T1030  T1564.001  T1608.001  T1091  T1041  T1608.004  T1608.005  T1587.001  T1071.001  T1105  T1557.002  T1588.002  T1005  T1204.001  T1574.002  T1547.001  T1083  T1033  T1560  T1036.005  T1112  T1053.005  T1588.004  T1553.002
CostaRicto,T1588.002  T1046  T1572  T1090.003  T1053.005
