"technique_id","technique_name","enabled_percentage","enabled_count",count
"T1552.004","Private Keys",0,0,2
"T1552.005","Cloud Instance Metadata API",0,0,1
"T1552.006","Group Policy Preferences",0,0,2
"T1552.007","Container API",0,0,4
T1553,"Subvert Trust Controls",0,0,8
"T1553.003","SIP and Trust Provider Hijacking",0,0,3
"T1553.005","Mark-of-the-Web Bypass",0,0,5
T1554,"Compromise Host Software Binary",0,0,2
T1555,"Credentials from Password Stores",0,0,7
"T1555.003","Credentials from Web Browsers",0,0,2
"T1555.004","Windows Credential Manager",0,0,1
"T1555.005","Password Managers",0,0,2
T1556,"Modify Authentication Process",0,0,22
"T1556.004","Network Device Authentication",0,0,1
"T1556.006","Multi-Factor Authentication",0,0,6
T1557,"Adversary-in-the-Middle",0,0,5
"T1557.001","LLMNR/NBT-NS Poisoning and SMB Relay",0,0,4
T1558,"Steal or Forge Kerberos Tickets",0,0,2
"T1558.003",Kerberoasting,0,0,1
"T1558.004","AS-REP Roasting",0,0,1
T1559,"Inter-Process Communication",0,0,6
T1560,"Archive Collected Data",0,0,4
"T1560.001","Archive via Utility",0,0,1
T1562,"Impair Defenses",0,0,107
"T1562.001","Disable or Modify Tools",0,0,50
"T1562.002","Disable Windows Event Logging",0,0,11
"T1562.003","Impair Command History Logging",0,0,2
"T1562.004","Disable or Modify System Firewall",0,0,8
"T1562.006","Indicator Blocking",0,0,1
"T1562.007","Disable or Modify Cloud Firewall",0,0,2
"T1562.008","Disable or Modify Cloud Logs",0,0,13
"T1562.012","Disable or Modify Linux Audit System",0,0,3
T1563,"Remote Service Session Hijacking",0,0,2
"T1563.002","RDP Hijacking",0,0,2
T1564,"Hide Artifacts",0,0,22
"T1564.003","Hidden Window",0,0,3
"T1564.004","NTFS File Attributes",0,0,3
"T1564.006","Run Virtual Instance",0,0,1
"T1564.008","Email Hiding Rules",0,0,3
T1565,"Data Manipulation",0,0,1
"T1565.001","Stored Data Manipulation",0,0,1
T1566,Phishing,0,0,34
"T1566.001","Spearphishing Attachment",0,0,19
"T1566.002","Spearphishing Link",0,0,8
T1567,"Exfiltration Over Web Service",0,0,12
"T1567.002","Exfiltration to Cloud Storage",0,0,3
T1569,"System Services",0,0,6
"T1569.002","Service Execution",0,0,5
T1571,"Non-Standard Port",0,0,4
T1572,"Protocol Tunneling",0,0,2
T1573,"Encrypted Channel",0,0,6
"T1573.002","Asymmetric Cryptography",0,0,5
T1574,"Hijack Execution Flow",0,0,15
"T1574.001",DLL,0,0,7
"T1574.006","Dynamic Linker Hijacking",0,0,4
"T1574.014",AppDomainManager,0,0,1
T1578,"Modify Cloud Compute Infrastructure",0,0,1
"T1578.005","Modify Cloud Compute Configurations",0,0,1
T1580,"Cloud Infrastructure Discovery",0,0,3
T1583,"Acquire Infrastructure",0,0,1
"T1583.006","Web Services",0,0,1
T1586,"Compromise Accounts",0,0,8
"T1586.003","Cloud Accounts",0,0,8
T1587,"Develop Capabilities",0,0,3
"T1587.001",Malware,0,0,1
"T1587.002","Code Signing Certificates",0,0,1
"T1587.003","Digital Certificates",0,0,1
T1588,"Obtain Capabilities",0,0,3
"T1588.002",Tool,0,0,2
"T1588.004","Digital Certificates",0,0,1
T1589,"Gather Victim Identity Information",0,0,1
"T1589.001",Credentials,0,0,1
T1590,"Gather Victim Network Information",0,0,4
"T1590.001","Domain Properties",0,0,1
"T1590.002",DNS,0,0,1
"T1590.005","IP Addresses",0,0,2
T1595,"Active Scanning",0,0,7
"T1595.001","Scanning IP Blocks",0,0,1
"T1595.002","Vulnerability Scanning",0,0,5
T1598,"Phishing for Information",0,0,2
"T1598.002","Spearphishing Attachment",0,0,1
T1601,"Modify System Image",0,0,1
"T1601.001","Patch System Image",0,0,1
T1611,"Escape to Host",0,0,1
T1621,"Multi-Factor Authentication Request Generation",0,0,10
T1649,"Steal or Forge Authentication Certificates",0,0,6
T1654,"Log Enumeration",0,0,2
T1673,"Virtual Machine Discovery",0,0,2
